Date,Pokemon,CP
7/16/16,Magnemite,346
7/16/16,Pidgey,181
7/16/16,Caterpie,23
7/16/16,Golbat,627
7/16/16,Zubat,257
7/17/16,Venonat,13
7/17/16,Zubat,123
7/17/16,Shellder,54
7/17/16,Spearow,275
7/17/16,Pidgey,254
7/18/16,Drowzee ,261
7/18/16,Squirtle,139
7/18/16,Drowzee ,165
7/18/16,Weedle,36
7/18/16,Pidgey,97
7/18/16,Venonat,480
7/18/16,Pidgey,10
7/18/16,Squirtle,137
7/18/16,Drowzee ,72
7/18/16,Drowzee ,243
7/18/16,Zubat,139
7/18/16,Pidgey,177
7/18/16,Pidgey,220
7/18/16,Pidgey,40
7/18/16,Drowzee ,251
7/18/16,Drowzee ,288
7/18/16,Rattata,131
7/18/16,Zubat,200
7/18/16,Rattata,233
7/18/16,Drowzee ,287
7/18/16,Drowzee ,246
7/18/16,Rattata,21
7/18/16,Magnemite,332
7/18/16,Gloom,111
7/18/16,Drowzee ,256
7/18/16,Seel,153
7/18/16,Pidgey,140
7/18/16,Jynx,120
7/18/16,Rattata,50
7/18/16,Horsea,344
7/18/16,Squirtle,317
7/18/16,Pidgey,195
7/18/16,Spearow,59
7/18/16,Rattata,50
7/18/16,Pidgey,143
7/18/16,Pidgey,10
7/18/16,Pidgey,143
7/18/16,Pidgey,135
7/18/16,Rattata,81
7/18/16,Drowzee ,238
7/18/16,Shellder,71
7/18/16,Drowzee ,347
7/19/16,Hypno,472
7/19/16,Krabby,178
7/19/16,Drowzee ,106
7/19/16,Drowzee ,277
7/19/16,Rattata,134
7/19/16,Pidgey,259
7/19/16,Rattata,123
7/19/16,Drowzee ,491
7/19/16,Drowzee ,491
7/19/16,Drowzee ,457
7/19/16,Drowzee ,41
7/19/16,Raticate,188
7/19/16,Krabby,56
7/19/16,Rattata,233
7/19/16,Zubat,23
7/19/16,Rattata,67
7/19/16,Rattata,79
7/19/16,Pidgey,243
7/19/16,Meowth,129
7/19/16,Pidgey,154
7/19/16,Drowzee ,392
7/19/16,Pidgeotto,563
7/19/16,Drowzee ,162
7/19/16,Pidgey,158
7/19/16,Pidgey,212
7/19/16,Paras,129
7/20/16,Pidgey,139
7/20/16,Drowzee ,252
7/20/16,Kingler,771
7/20/16,Seel,279
7/20/16,Pidgey,39
7/20/16,Shellder,121
7/20/16,Spearow,461
7/20/16,Gastly,29
7/20/16,Drowzee ,13
7/20/16,Jynx,71
7/20/16,Drowzee ,226
7/20/16,Krabby,10
7/20/16,Gastly,178
7/20/16,Drowzee ,13
7/20/16,Drowzee ,381
7/20/16,Pidgey,10
7/20/16,Drowzee ,324
7/20/16,Pidgey,59
7/20/16,Rattata,113
7/20/16,Pidgey,100
7/20/16,Weedle,136
7/20/16,Pidgey,277
7/20/16,Squirtle,153
7/20/16,Squirtle,435
7/20/16,Rattata,96
7/20/16,Pidgey,238
7/20/16,Drowzee ,197
7/20/16,Drowzee ,43
7/20/16,NidoranF,180
7/20/16,Drowzee ,408
7/20/16,Drowzee ,436
7/20/16,Zubat,179
7/20/16,Drowzee ,401
7/20/16,Drowzee ,163
7/20/16,Drowzee ,309
7/20/16,Weedle,34
7/20/16,Pidgey,43
7/20/16,Slowpoke,512
7/20/16,Gastly,177
7/20/16,Krabby,10
7/20/16,Spearow,26
7/20/16,Gastly,364
7/20/16,Rattata,220
7/20/16,Pidgey,111
7/20/16,Pidgey,194
